replicate	E1	E2	E3	E4
408	-4.2641586168462585e-05	0	0.029698926303879981	0.27207142325524625
409	-6.7810009102320382e-05	0	0.029811200715131804	0.32456506493379117
410	0	0	0.01371478882457502	0.048284811548191295
411	-0.00018484941893084916	0	0.033069043883393635	0.27609706668841205
412	-5.1318953449985826e-05	0	0.030275282581382422	0.28936725234968835
413	0	0	0.018312729304984992	0.18776150102213723
414	-3.4209663388778952e-05	0	0.014293001720072949	0.067412031265143751
415	-0.00021314552103364747	0	0.021827543387229413	0.14674649213500468
416	-0.0001843804713371311	0	0.028889307158226872	0.25132483266461147
417	-0.00014160577392439145	0	0.025151170689832324	0.31571225951409576
418	-6.4395096850708439e-05	0	0.01056192144339033	0.054405143943180148
419	-8.6995492881924988e-05	0	0.014254224983267194	0.14383121171076746
420	-5.3461896101969499e-05	0	0.018998419340882949	0.19181656295664568
421	0	0	0.022845443257996281	0.025583283383220145
422	0	0	0.019609120664862909	0.086450841540308215
423	-3.5096481778507108e-05	0	0.032811376348037956	0.32914904531996569
424	-0.00019259940542964982	0	0.032245946185837808	0.20872469617343453
425	-0.00021180651199069754	0	0.035813220303040336	0.39736256963529393
426	-0.00016175018137541409	0	0.016925164888641368	-0.018956623570930399
427	-0.00012766101559181232	0	0.027622545262526325	0.21843799474091652
428	-9.1189059245741502e-05	0	0.026385038553765273	0.17153699774555381
429	-4.2136551914212504e-05	0	0.030575723271667642	0.35032843768294608
430	-3.1424113529210375e-05	0	0.0119170239278004	0.023466009472396677
