validation_instance_id	repeat_id	primary_instance	workload_id	ranking_mode	mode_classifications	detail_kind	authority_index	candidate_index	authority_rank	candidate_rank	authority_site_digest	candidate_site_digest	target_overlap	query_representative_overlap	query_cluster_overlap	ungapped_tfo_equal	ungapped_tts_equal	target_endpoint_l1	query_endpoint_l1	cluster_center_distance	query_endpoint_shift	target_endpoint_shift	cluster_geometry_shift	rank_displacement	score_delta_candidate_minus_authority	nt_delta_candidate_minus_authority	stability_delta_candidate_minus_authority	strict_row_equal
bts3_w005__repeat00	0	1	bts3_w005	score		matched	2	2	3	3	2d5885176915a5dbc0d6fa9cc6ffb41fd85a686896b386f2f608819181b9070a	2d5885176915a5dbc0d6fa9cc6ffb41fd85a686896b386f2f608819181b9070a	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1
bts3_w005__repeat00	0	1	bts3_w005	score		matched	3	3	4	4	9571afaef535f5f31622f97867e6df84d21f9a313878c3c84f4b6c10d1f18138	9571afaef535f5f31622f97867e6df84d21f9a313878c3c84f4b6c10d1f18138	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1
bts3_w005__repeat00	0	1	bts3_w005	score		matched	4	4	5	5	3da6139b85660a79ad48e3d5a4befeafdab053edf5db348d1ada07c2212a0996	3da6139b85660a79ad48e3d5a4befeafdab053edf5db348d1ada07c2212a0996	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1
bts3_w005__repeat00	0	1	bts3_w005	stability		matched	0	0	1	1	7ffe77b5b20a07cab0d1210a40d848abd18468c43ecbd3a6778f130afc3f9b4c	7ffe77b5b20a07cab0d1210a40d848abd18468c43ecbd3a6778f130afc3f9b4c	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1
bts3_w005__repeat00	0	1	bts3_w005	stability		matched	1	1	2	2	462ad779fab1794b84798012feeb33bf49e0436cac88237c663e6ae69a1d89ef	462ad779fab1794b84798012feeb33bf49e0436cac88237c663e6ae69a1d89ef	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1
bts3_w005__repeat00	0	1	bts3_w005	stability		matched	2	2	3	3	0ab8a2a17bdab624c11711a091023be9124cf5161ffcf45e45da5dd266a807ff	0ab8a2a17bdab624c11711a091023be9124cf5161ffcf45e45da5dd266a807ff	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1
bts3_w005__repeat00	0	1	bts3_w005	stability		matched	3	3	4	4	f533f215607fbecaa9dde88681ac6bb8b138b800d6b25042ce9ce46f3b1a0a38	f533f215607fbecaa9dde88681ac6bb8b138b800d6b25042ce9ce46f3b1a0a38	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1
bts3_w005__repeat00	0	1	bts3_w005	stability		matched	4	4	5	5	e1712f6021613d81c513f1179ddff27bedd3ddf97a13a78b95176f1ae9c6b88a	e1712f6021613d81c513f1179ddff27bedd3ddf97a13a78b95176f1ae9c6b88a	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1
bts3_w005__repeat00	0	1	bts3_w005	nt		matched	0	0	1	1	a57aaed363256b453bd1af3210570a36bed359544a0d58fb54d9a59315cf7485	a57aaed363256b453bd1af3210570a36bed359544a0d58fb54d9a59315cf7485	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1
bts3_w005__repeat00	0	1	bts3_w005	nt		matched	1	1	2	2	f533f215607fbecaa9dde88681ac6bb8b138b800d6b25042ce9ce46f3b1a0a38	f533f215607fbecaa9dde88681ac6bb8b138b800d6b25042ce9ce46f3b1a0a38	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1
bts3_w005__repeat00	0	1	bts3_w005	nt		matched	2	2	3	3	f69c042b50dbd33e1345a0bdfd20a44785bcca934a781be03f550a739f99c230	f69c042b50dbd33e1345a0bdfd20a44785bcca934a781be03f550a739f99c230	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1
bts3_w005__repeat00	0	1	bts3_w005	nt		matched	3	3	4	4	0ab8a2a17bdab624c11711a091023be9124cf5161ffcf45e45da5dd266a807ff	0ab8a2a17bdab624c11711a091023be9124cf5161ffcf45e45da5dd266a807ff	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1
bts3_w005__repeat00	0	1	bts3_w005	nt		matched	4	4	5	5	ca405a1618a8c47d3b198134cb00584d25dae0a492325acfca13b46b3a45a26c	ca405a1618a8c47d3b198134cb00584d25dae0a492325acfca13b46b3a45a26c	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1
bts3_w006__repeat00	0	1	bts3_w006	score		matched	0	0	1	1	6cc938de4112593bb46ffb28caf7e35f4af8fe95db094b418b2befcee5e139d2	6cc938de4112593bb46ffb28caf7e35f4af8fe95db094b418b2befcee5e139d2	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1
bts3_w006__repeat00	0	1	bts3_w006	score		matched	1	1	2	2	7de8f3587cc555d8ae6423db40163d786794e9ca41c397540a34f083ef91edc8	7de8f3587cc555d8ae6423db40163d786794e9ca41c397540a34f083ef91edc8	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1
