failure_id	validation_instance_id	workload_id	repeat_id	primary_instance	attempt_id	arm	failure_class	failure_reason	missing_output	input_identity_mismatch	ambiguous_matching	unexpected_fallback	retained_in_binary_denominator	replacement_or_retry_used	evidence_role
failure_067	r1_bt3_w112__repeat00	bt3_w112	0	1	r1_bt3_w112__repeat00_a	A	missing_attempt	attempt_receipt_missing_before_fixed_budget_or_execution_stop	1	0	0	0	1	0	fresh_concordance_promotion
failure_068	r1_bt3_w113__repeat00	bt3_w113	0	1	r1_bt3_w113__repeat00_a	A	missing_attempt	attempt_receipt_missing_before_fixed_budget_or_execution_stop	1	0	0	0	1	0	fresh_concordance_promotion
failure_069	r1_bt3_w113__repeat00	bt3_w113	0	1	r1_bt3_w113__repeat00_g	G	missing_attempt	attempt_receipt_missing_before_fixed_budget_or_execution_stop	1	0	0	0	1	0	fresh_concordance_promotion
failure_070	r1_bt3_w114__repeat00	bt3_w114	0	1	r1_bt3_w114__repeat00_g	G	missing_attempt	attempt_receipt_missing_before_fixed_budget_or_execution_stop	1	0	0	0	1	0	fresh_concordance_promotion
failure_071	r1_bt3_w114__repeat00	bt3_w114	0	1	r1_bt3_w114__repeat00_a	A	missing_attempt	attempt_receipt_missing_before_fixed_budget_or_execution_stop	1	0	0	0	1	0	fresh_concordance_promotion
failure_072	r1_bt3_w115__repeat00	bt3_w115	0	1	r1_bt3_w115__repeat00_a	A	missing_attempt	attempt_receipt_missing_before_fixed_budget_or_execution_stop	1	0	0	0	1	0	fresh_concordance_promotion
failure_073	r1_bt3_w115__repeat00	bt3_w115	0	1	r1_bt3_w115__repeat00_g	G	missing_attempt	attempt_receipt_missing_before_fixed_budget_or_execution_stop	1	0	0	0	1	0	fresh_concordance_promotion
failure_074	r1_bt3_w116__repeat00	bt3_w116	0	1	r1_bt3_w116__repeat00_g	G	missing_attempt	attempt_receipt_missing_before_fixed_budget_or_execution_stop	1	0	0	0	1	0	fresh_concordance_promotion
failure_075	r1_bt3_w116__repeat00	bt3_w116	0	1	r1_bt3_w116__repeat00_a	A	missing_attempt	attempt_receipt_missing_before_fixed_budget_or_execution_stop	1	0	0	0	1	0	fresh_concordance_promotion
failure_076	r1_bt3_w117__repeat00	bt3_w117	0	1	r1_bt3_w117__repeat00_a	A	missing_attempt	attempt_receipt_missing_before_fixed_budget_or_execution_stop	1	0	0	0	1	0	fresh_concordance_promotion
failure_077	r1_bt3_w117__repeat00	bt3_w117	0	1	r1_bt3_w117__repeat00_g	G	missing_attempt	attempt_receipt_missing_before_fixed_budget_or_execution_stop	1	0	0	0	1	0	fresh_concordance_promotion
failure_078	r1_bt3_w118__repeat00	bt3_w118	0	1	r1_bt3_w118__repeat00_g	G	missing_attempt	attempt_receipt_missing_before_fixed_budget_or_execution_stop	1	0	0	0	1	0	fresh_concordance_promotion
failure_079	r1_bt3_w118__repeat00	bt3_w118	0	1	r1_bt3_w118__repeat00_a	A	missing_attempt	attempt_receipt_missing_before_fixed_budget_or_execution_stop	1	0	0	0	1	0	fresh_concordance_promotion
failure_080	r1_bt3_w118__repeat01	bt3_w118	1	0	r1_bt3_w118__repeat01_a	A	missing_attempt	attempt_receipt_missing_before_fixed_budget_or_execution_stop	1	0	0	0	0	0	fresh_concordance_promotion
failure_081	r1_bt3_w118__repeat01	bt3_w118	1	0	r1_bt3_w118__repeat01_g	G	missing_attempt	attempt_receipt_missing_before_fixed_budget_or_execution_stop	1	0	0	0	0	0	fresh_concordance_promotion
