grid_shift	run	wall_seconds	column_pruned_enabled	exact_batches	exact_tasks	exact_cells	compact_batches	column_wall_seconds	column_kernel_seconds	column_h2d_seconds	column_d2h_seconds	compact_wall_seconds	compact_kernel_seconds	compact_h2d_seconds	compact_d2h_seconds	fallbacks
0	run_37	61.389314	0	94	384816	1924080000	0	7.7122	4.57107	0.198528	0.786519	0.0	0.0	0.0	0.0	0
0	run_38	72.032877	0	94	384816	1924080000	0	7.66409	4.57275	0.194587	0.782163	0.0	0.0	0.0	0.0	0
0	run_39	68.729248	0	94	384816	1924080000	0	7.60796	4.50652	0.196407	0.790074	0.0	0.0	0.0	0.0	0
0	run_4	81.907017	0	94	384816	1924080000	0	7.5593	4.49376	0.194413	0.778805	0.0	0.0	0.0	0.0	0
0	run_40	60.497766	0	94	384816	1924080000	0	7.57916	4.4936	0.196751	0.795527	0.0	0.0	0.0	0.0	0
0	run_41	60.711389	0	94	384816	1924080000	0	7.44159	4.4411	0.190822	0.751911	0.0	0.0	0.0	0.0	0
0	run_42	50.586335	0	94	384816	1924080000	0	7.4953	4.47665	0.193	0.753695	0.0	0.0	0.0	0.0	0
0	run_43	67.289533	0	94	384816	1924080000	0	7.55883	4.53769	0.193268	0.762833	0.0	0.0	0.0	0.0	0
0	run_44	66.563449	0	94	384816	1924080000	0	7.62951	4.5843	0.194736	0.775173	0.0	0.0	0.0	0.0	0
0	run_45	72.00663	0	94	384816	1924080000	0	7.63463	4.52642	0.194142	0.784961	0.0	0.0	0.0	0.0	0
0	run_46	66.420866	0	94	384816	1924080000	0	7.55981	4.51768	0.194217	0.78636	0.0	0.0	0.0	0.0	0
0	run_47	64.82536	0	94	384816	1924080000	0	7.49401	4.47839	0.192181	0.779741	0.0	0.0	0.0	0.0	0
0	run_48	66.431973	0	94	384816	1924080000	0	7.54572	4.52113	0.191994	0.775393	0.0	0.0	0.0	0.0	0
0	run_49	72.894799	0	94	384816	1924080000	0	7.58957	4.50725	0.19628	0.7905	0.0	0.0	0.0	0.0	0
0	run_5	83.00954	0	94	384816	1924080000	0	7.50749	4.4779	0.194223	0.77646	0.0	0.0	0.0	0.0	0
0	run_50	64.862587	0	94	384816	1924080000	0	7.60314	4.58155	0.192272	0.778992	0.0	0.0	0.0	0.0	0
0	run_51	62.909357	0	94	384816	1924080000	0	7.50735	4.49437	0.192254	0.774037	0.0	0.0	0.0	0.0	0
0	run_52	69.928306	0	94	384816	1924080000	0	7.56668	4.52478	0.19451	0.772545	0.0	0.0	0.0	0.0	0
0	run_53	72.058416	0	94	384816	1924080000	0	7.60401	4.54877	0.194864	0.795437	0.0	0.0	0.0	0.0	0
0	run_54	55.508472	0	94	384816	1924080000	0	7.57857	4.54601	0.191474	0.775222	0.0	0.0	0.0	0.0	0
0	run_55	67.791205	0	94	384816	1924080000	0	7.54524	4.53942	0.193559	0.763745	0.0	0.0	0.0	0.0	0
0	run_56	69.480413	0	94	384816	1924080000	0	7.51519	4.51043	0.193312	0.766968	0.0	0.0	0.0	0.0	0
